# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];Trc13_S11[dB];Trc15_S21[dB];re:Trc16_S11[U];im:Trc16_S11[U];Trc17_S21[°];
5.259200000000000E+006;-4.568673367968840E-002;-2.522037596528774E+001;-9.859076456225407E-001;1.323687812829659E-001;7.240129093831904E+001;
5.259300000000000E+006;-4.521774496899508E-002;-2.521143712687373E+001;-9.859524588065095E-001;1.324386396788431E-001;7.244863200729957E+001;
5.259400000000000E+006;-4.551250484306984E-002;-2.520577900519773E+001;-9.859244699696825E-001;1.323934217498103E-001;7.242672926537111E+001;
5.259500000000000E+006;-4.560690959232065E-002;-2.520950249019439E+001;-9.859043364304058E-001;1.324620978393485E-001;7.245748419348082E+001;
5.259600000000000E+006;-4.579067041849667E-002;-2.520586087347017E+001;-9.858757087337726E-001;1.325171132022589E-001;7.241684826111708E+001;
5.259700000000000E+006;-4.557445149947892E-002;-2.519226727006139E+001;-9.858972677533034E-001;1.325426010704371E-001;7.245899553911926E+001;
5.259800000000000E+006;-4.507066316747729E-002;-2.518655396798167E+001;-9.859461488991553E-001;1.326120371497329E-001;7.242626209318043E+001;
5.259900000000000E+006;-4.620254752003877E-002;-2.519726954433137E+001;-9.858168075103527E-001;1.326012116348116E-001;7.246745409331930E+001;
5.260000000000000E+006;-4.543494208086739E-002;-2.518858081128271E+001;-9.859063947586051E-001;1.325946184496011E-001;7.241252954345846E+001;
5.260100000000000E+006;-4.559604091315613E-002;-2.518151578204765E+001;-9.858805282520685E-001;1.326485146368452E-001;7.236839055396285E+001;
5.260200000000000E+006;-4.549979787341681E-002;-2.518398443984181E+001;-9.858769294435749E-001;1.327578773124430E-001;7.248403766410648E+001;
5.260300000000000E+006;-4.523796228459158E-002;-2.518032903598389E+001;-9.859054154542655E-001;1.327710401549428E-001;7.241059620561845E+001;
5.260400000000000E+006;-4.542457638675550E-002;-2.517581042998209E+001;-9.858816559836373E-001;1.327873277645572E-001;7.245958212640397E+001;
5.260500000000000E+006;-4.593606192160155E-002;-2.517018590852458E+001;-9.858212251814709E-001;1.327971550587389E-001;7.246981502973017E+001;
5.260600000000000E+006;-4.661614493032662E-002;-2.516910485377391E+001;-9.857397189071091E-001;1.328188383188911E-001;7.239071100396191E+001;
5.260700000000000E+006;-4.530176977451252E-002;-2.517250349590071E+001;-9.858883288821227E-001;1.328431422214764E-001;7.240080091800876E+001;
5.260800000000000E+006;-4.590967239893135E-002;-2.515581043861674E+001;-9.858147779513253E-001;1.328676351887773E-001;7.236476847018575E+001;
5.260900000000000E+006;-4.595702818818107E-002;-2.515413849301341E+001;-9.857987948378856E-001;1.329455965810615E-001;7.232167268347322E+001;
5.261000000000000E+006;-4.580285507271512E-002;-2.514737714757207E+001;-9.858139135337378E-001;1.329655972642728E-001;7.242175814617758E+001;
5.261100000000000E+006;-4.544331952857418E-002;-2.515353561588647E+001;-9.858445240416615E-001;1.330466744543243E-001;7.237716958375751E+001;
5.261200000000000E+006;-4.589858218028399E-002;-2.513616695612388E+001;-9.857872599764139E-001;1.330811397011904E-001;7.232396366680375E+001;
5.261300000000000E+006;-4.589952662241323E-002;-2.514888716676780E+001;-9.857761686098805E-001;1.331624642952312E-001;7.238502613428216E+001;
5.261400000000000E+006;-4.586935016565397E-002;-2.514006771961974E+001;-9.857852668379235E-001;1.331209207539268E-001;7.238114850839406E+001;
5.261500000000000E+006;-4.608824445846417E-002;-2.513055680888961E+001;-9.857508179102986E-001;1.331886833305415E-001;7.240988115028699E+001;
5.261600000000000E+006;-4.603086192912876E-002;-2.512839417981379E+001;-9.857521160911856E-001;1.332281480248450E-001;7.230751809621512E+001;
5.261700000000000E+006;-4.597736831171043E-002;-2.513875093868144E+001;-9.857595876687093E-001;1.332186049206493E-001;7.239442469103700E+001;
5.261800000000000E+006;-4.578814634903368E-002;-2.511407093762705E+001;-9.857751336426338E-001;1.332653718997748E-001;7.239866745389107E+001;
5.261900000000000E+006;-4.600780330544834E-002;-2.512959885688336E+001;-9.857438599188274E-001;1.333089266229484E-001;7.243590610089461E+001;
5.262000000000000E+006;-4.558058036795574E-002;-2.510805928160977E+001;-9.857836864202765E-001;1.333794990179599E-001;7.239994678069319E+001;
5.262100000000000E+006;-4.590404181723417E-002;-2.510941232865751E+001;-9.857529548228421E-001;1.333303409692282E-001;7.237427446720564E+001;
5.262200000000000E+006;-4.602312644848935E-002;-2.510814501945118E+001;-9.857219893325168E-001;1.334574686322099E-001;7.236909921795525E+001;
5.262300000000000E+006;-4.631219192904634E-002;-2.510441198767559E+001;-9.856934794360814E-001;1.334213056970072E-001;7.233942395538701E+001;
5.262400000000000E+006;-4.597479726476926E-002;-2.510015550284688E+001;-9.857172703061408E-001;1.335335544696318E-001;7.233012719906121E+001;
5.262500000000000E+006;-4.701811638213981E-002;-2.509453725667472E+001;-9.856040322456671E-001;1.334794513422845E-001;7.243325172688770E+001;
5.262600000000000E+006;-4.632360471839711E-002;-2.508363210004789E+001;-9.856764046092863E-001;1.335376561091689E-001;7.239928811072159E+001;
5.262700000000000E+006;-4.601523966185224E-002;-2.507991023936311E+001;-9.856988652946404E-001;1.336348756974149E-001;7.235480984313011E+001;
5.262800000000000E+006;-4.637793917786594E-002;-2.508520427057022E+001;-9.856580848522523E-001;1.336265011579086E-001;7.243032554736109E+001;
5.262900000000000E+006;-4.608736408304819E-002;-2.506940219648558E+001;-9.856863671898022E-001;1.336655770510841E-001;7.235015338814073E+001;
5.263000000000000E+006;-4.601973374409880E-002;-2.507967511731890E+001;-9.856785308439683E-001;1.337809515034927E-001;7.235146566757054E+001;
5.263100000000000E+006;-4.582603603918208E-002;-2.507056030362621E+001;-9.857008712514178E-001;1.337812878671358E-001;7.231073642737400E+001;
5.263200000000000E+006;-4.667002615298968E-002;-2.507465461247650E+001;-9.856087630296005E-001;1.337412778700214E-001;7.235175952813941E+001;
5.263300000000000E+006;-4.596980736289808E-002;-2.507577876278682E+001;-9.856691690790342E-001;1.338923939035836E-001;7.236929807089139E+001;
5.263400000000000E+006;-4.680004394506789E-002;-2.506583823410043E+001;-9.855832434425050E-001;1.338185941713061E-001;7.235271004067914E+001;
5.263500000000000E+006;-4.672628747871567E-002;-2.505204134751925E+001;-9.855832876616897E-001;1.338810298383621E-001;7.229409436231394E+001;
5.263600000000000E+006;-4.674558258029994E-002;-2.505966215698015E+001;-9.855762918973968E-001;1.339161103523032E-001;7.234545904658920E+001;
5.263700000000000E+006;-4.683758284337282E-002;-2.504890086297472E+001;-9.855611007344145E-001;1.339496608836273E-001;7.229874732180988E+001;
